Data Consegna,Numero Cluster Serviti,Numero Clienti,Distanza Totale Stimata (km),Percorso Ottimo (NN),Cluster Percorso
2025-09-02,2,14,212.94,"[587132, 405945, 580938, 401370, 581095, 587465, 577169, 581912, 582004, 583179, 581985, 586729, 405597, 402898]","['0_1', '0_1', '0_1', '0_1', '1_3', '1_3', '1_3', '1_3', '1_3', '1_3', '1_3', '1_3', '1_3', '1_3']"
2025-09-03,3,19,270.13,"[17728, 401714, 401894, 585701, 587733, 558224, 576459, 557439, 557644, 557945, 586406, 580342, 10552, 588207, 404550, 15565, 406237, 403767, 587983]","['0_1', '0_1', '0_1', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2025-09-04,2,15,192.88,"[586234, 587250, 554228, 557442, 558246, 581190, 557537, 581297, 583169, 557923, 584410, 585672, 557332, 550920, 555528]","['0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3', '0_3']"
2025-09-05,2,7,186.63,"[553948, 576202, 557877, 557397, 406484, 16831, 588755]","['0_0', '0_0', '0_0', '0_0', '0_1', '0_1', '0_1']"
2025-09-06,2,14,224.08,"[557981, 588445, 557469, 558267, 558234, 553074, 577808, 603813, 582057, 605480, 605203, 580355, 587309, 585360]","['0_0', '0_0', '0_0', '0_2', '0_2', '0_2', '0_2', '0_2', '0_2', '0_2', '0_2', '0_2', '0_2', '0_2']"
2025-09-07,3,19,241.46,"[557744, 557411, 557531, 557812, 557468, 580265, 554071, 553130, 400768, 585394, 580233, 576568, 10847, 585166, 401829, 15743, 405499, 401615, 577726]","['0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_0', '0_1', '0_1', '0_1', '0_1', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2025-09-08,2,16,182.45,"[584853, 587355, 580791, 587180, 584393, 588691, 578628, 582471, 582776, 603922, 582058, 586205, 405069, 404773, 14240, 576952]","['1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2']"
2025-09-10,1,3,30.89,"[580188, 401515, 587941]","['1_0', '1_0', '1_0']"
2025-09-11,1,6,57.07,"[584344, 401772, 17758, 588661, 401533, 557578]","['1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
2025-09-13,2,14,170.01,"[401949, 402766, 580938, 582188, 404593, 401240, 576691, 577222, 585919, 584169, 17814, 405670, 15778, 17792]","['0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '0_1', '1_0', '1_0', '1_0']"
2025-09-14,2,14,201.2,"[603830, 584059, 587971, 587403, 15269, 401911, 585079, 582562, 404272, 577895, 401092, 584887, 587267, 553714]","['1_0', '1_0', '1_0', '1_0', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1', '1_1']"
2025-09-15,3,12,125.14,"[406440, 400993, 11770, 557973, 582303, 576575, 15614, 580349, 401680, 16312, 405357, 404146]","['1_0', '1_0', '1_0', '1_0', '1_1', '1_1', '1_1', '1_1', '1_2', '1_2', '1_2', '1_2']"
2025-09-16,2,15,152.03,"[586240, 587705, 11617, 404870, 586311, 405607, 401964, 403069, 405980, 585158, 587260, 584160, 581525, 581987, 403963]","['1_0', '1_0', '1_0', '1_0', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2']"
2025-09-17,1,8,38.06,"[584577, 406249, 405337, 405596, 404810, 604065, 406433, 576527]","['1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0', '1_0']"
